Country Name,Country Code,Indicator Name,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Aruba,ABW,GDP growth (annual %),-0.090707754,-10.51974761,-3.685029581,3.44605475,-1.369863014,4.198232323,0.84822781,-0.450585761,-0.211225106,1.330511037,
Afghanistan,AFG,GDP growth (annual %),3.924983823,21.39052841,14.36244146,0.426354793,12.75228708,5.600744661,2.724543365,1.451314655,2.260314205,2.665292046,1.030660058
Angola,AGO,GDP growth (annual %),11.16613833,0.858712615,4.859219584,3.471981372,8.542147337,4.954590478,4.822625549,0.943575613,-2.58009724,-0.147207426,-2.133493257
Albania,ALB,GDP growth (annual %),7.49996956,3.350067393,3.706891433,2.545322651,1.417524408,1.001988709,1.774486771,2.21875146,3.314804753,3.821081417,4.145237936
Andorra,AND,GDP growth (annual %),-8.590003787,-3.69065351,-5.358825775,-4.646543052,-1.615218183,0.351645002,2.277683153,0.842203518,1.889124387,1.724022237,1.629345471
Arab World,ARB,GDP growth (annual %),5.822453363,0.426422635,4.768836619,3.62959887,6.658109668,3.168556916,2.439528417,3.306346262,3.372624384,0.832435499,2.045975654
United Arab Emirates,ARE,GDP growth (annual %),3.191836276,-5.242921907,1.602809961,6.930271629,4.484626085,5.053345825,4.284303689,5.105936984,3.060964305,0.490860761,1.726349343
Argentina,ARG,GDP growth (annual %),4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.668590379,-2.481792445
Armenia,ARM,GDP growth (annual %),6.900000002,-14.14998864,2.199999998,4.699999999,7.200000004,3.3,3.600000001,3.199999999,0.2,7.500000002,5.2
American Samoa,ASM,GDP growth (annual %),-2.613480055,-4.237288136,0.442477876,0.293685756,-4.39238653,-2.756508423,0.94488189,1.404056162,-2.769230769,-5.85443038,2.18487395
Antigua and Barbuda,ATG,GDP growth (annual %),-0.030133268,-12.10753619,-7.574357218,-1.958612628,3.3728662,-0.600876397,3.795727613,3.825293099,5.497788456,3.145543603,7.389197162
Australia,AUS,GDP growth (annual %),3.657912651,1.93692177,2.067465677,2.462786173,3.918161772,2.584875111,2.533115447,2.192640028,2.770656693,2.367617253,2.940333582
Austria,AUT,GDP growth (annual %),1.460423676,-3.764578178,1.837093677,2.922797284,0.680445577,0.025504712,0.661272849,1.014501586,2.082608428,2.476443921,2.419763638
Azerbaijan,AZE,GDP growth (annual %),10.59143729,9.369502784,4.78883271,-1.572997621,2.202939023,5.84267327,2.797289382,1.050750982,-3.064200035,-0.282011197,1.412873527
Burundi,BDI,GDP growth (annual %),4.861712995,3.812746937,5.124163303,4.032602496,4.446708222,4.924195261,4.240651644,-3.900003086,-0.600020001,0.500009999,1.609933082
Belgium,BEL,GDP growth (annual %),0.446916545,-2.020725816,2.864285327,1.694497446,0.739229905,0.45922805,1.57852323,2.032788973,1.511106034,1.964192755,1.458405353
Benin,BEN,GDP growth (annual %),4.889898637,2.32930121,2.110199297,2.962750351,4.816478241,7.189716312,6.351831941,2.095808383,3.96485991,5.837823305,6.858002271
Burkina Faso,BFA,GDP growth (annual %),7.29449815,2.962014371,5.373373126,6.626865192,6.452698755,5.792589317,4.326837357,3.894548057,5.906024993,6.34991812,6.832388103
Bangladesh,BGD,GDP growth (annual %),6.013789759,5.045124794,5.571802274,6.46438388,6.521435078,6.013610365,6.061059359,6.552652796,7.113489474,7.284184092,7.863708893
Bulgaria,BGR,GDP growth (annual %),6.021883402,-3.586145625,1.324087801,1.914905853,0.030969869,0.493921421,1.837521148,3.471186041,3.936758149,3.811248158,3.081157234
Bahrain,BHR,GDP growth (annual %),6.241836482,2.540515119,4.336776264,1.983515012,3.728209851,5.416834514,4.350294067,2.863047304,3.473516575,3.803522262,1.776728358
"Bahamas, The",BHS,GDP growth (annual %),-2.323966973,-4.175260401,1.538777407,0.612897452,3.086879177,-2.952095607,0.736540805,0.5975763,0.446254968,0.066664463,1.565759936
Bosnia and Herzegovina,BIH,GDP growth (annual %),5.4267266,-3.002752537,0.767248702,0.908249218,-0.699622321,2.351036504,1.148034196,3.088222848,3.145651329,2.127645789,3.62354616
Belarus,BLR,GDP growth (annual %),10.19999944,0.19999531,7.798266823,5.37870745,1.687135536,1.003470841,1.726384854,-3.829570558,-2.526446436,2.5321835,3.04990555
Belize,BLZ,GDP growth (annual %),3.228855669,0.670801477,3.383471706,2.162606822,2.937812628,0.851934628,3.692371465,3.431950484,-0.58802365,1.437288946,3.035403657
Bermuda,BMU,GDP growth (annual %),1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.834540171,-2.511154431,,,,,
Bolivia,BOL,GDP growth (annual %),6.148497195,3.357001259,4.126719369,5.204095947,5.122274661,6.796011706,5.460567154,4.857188015,4.263919504,4.195209367,4.223624932
Brazil,BRA,GDP growth (annual %),5.094195447,-0.125811999,7.52822583,3.974425406,1.921150318,3.004865355,0.50396179,-3.545871574,-3.305358252,1.063832555,1.11758735
Barbados,BRB,GDP growth (annual %),0.912295252,-4.859256215,-2.170391966,-0.794701987,-0.066755674,-1.369405478,-0.169319336,2.204884668,2.279013165,-0.173066522,-0.498428866
Brunei Darussalam,BRN,GDP growth (annual %),-1.939714638,-1.764535541,2.598965746,3.745318352,0.912841671,-2.126028517,-2.34974675,-0.566814609,-2.465514923,1.328602552,0.052237791
Bhutan,BTN,GDP growth (annual %),4.768354226,6.657223796,11.73085436,7.890913893,5.071709815,2.142496554,5.745455168,6.644564258,8.022101221,4.629101391,2.290648193
Botswana,BWA,GDP growth (annual %),6.245437363,-7.652310203,8.563631748,6.048316367,4.456167213,11.34342425,4.149289893,-1.697965616,4.303737457,2.907531122,4.453584566
Central African Republic,CAF,GDP growth (annual %),2.054130962,8.587260426,4.630818432,4.194615337,5.053761254,-36.3919771,0.081070515,4.33712103,4.750316841,4.527278213,3.789443593
Canada,CAN,GDP growth (annual %),1.007622675,-2.928400179,3.089494641,3.146881364,1.762278244,2.330174773,2.868453971,0.689906522,1.107099385,2.978565954,1.896974756
Central Europe and the Baltics,CEB,GDP growth (annual %),3.91383746,-3.45012363,1.59599612,3.230668304,0.761745531,1.259778578,3.041185839,3.908287794,3.050636943,4.79903515,4.305527225
Switzerland,CHE,GDP growth (annual %),2.154744118,-2.222111937,3.002798245,1.69275218,1.006077812,1.852035453,2.449179525,1.333388501,1.722649108,1.799476694,2.750516981
Channel Islands,CHI,GDP growth (annual %),,,,,,,,,,,
Chile,CHL,GDP growth (annual %),3.529530553,-1.564239443,5.844177296,6.110918829,5.318628,4.045004298,1.766739784,2.303767036,1.670540173,1.279183341,4.024652965
China,CHN,GDP growth (annual %),9.654289373,9.399813171,10.63614046,9.55091409,7.859627493,7.768615284,7.299518921,6.90531667,6.736675253,6.757007611,6.56697386
Cote d'Ivoire,CIV,GDP growth (annual %),2.542841476,3.251453719,2.017638592,-4.387254788,10.7065041,8.889421302,8.79407739,8.84285995,7.971751186,7.702089422,7.433071625
Cameroon,CMR,GDP growth (annual %),3.488800919,2.198664102,3.422507641,4.129277161,4.543265016,5.40426571,5.884059327,5.651463744,4.648481551,3.549087318,4.062405319
"Congo, Dem. Rep.",COD,GDP growth (annual %),6.225894269,2.85506401,7.107976576,6.87467089,7.086898947,8.481956636,9.470288097,6.91618781,2.399379098,3.726947653,5.757932738
"Congo, Rep.",COG,GDP growth (annual %),5.572233235,7.468942484,8.751601459,3.420665681,3.799971313,3.440705249,6.779916158,2.646485877,-2.800018788,-3.1,1.025554207
Colombia,COL,GDP growth (annual %),3.257048465,1.205422095,4.347553268,7.362530914,3.903054219,4.566869773,4.728312246,2.955945907,2.087382502,1.351326676,2.569220988
Comoros,COM,GDP growth (annual %),3.999971991,3.200113112,3.799933455,4.099846955,3.200272903,4.499874215,2.100006438,1.116140583,3.320680025,3.815702113,3.430764136
Cabo Verde,CPV,GDP growth (annual %),6.650520523,-1.270425968,1.466790097,3.968886345,1.081918279,0.802797601,0.611212666,1.006863707,4.705791509,3.702039188,5.077550829
Costa Rica,CRI,GDP growth (annual %),4.649598233,-0.970548313,4.951863844,4.30710166,4.796919919,2.2690274,3.515338564,3.631731442,4.245989878,3.397181701,2.633984968
Caribbean small states,CSS,GDP growth (annual %),1.294787232,-3.62792622,1.250290775,1.01790352,1.270686755,0.778487477,0.49330215,1.180209608,-1.651455047,-0.193581552,1.261314459
Cuba,CUB,GDP growth (annual %),4.116828042,1.451305431,2.390352297,2.802300836,3.014900289,2.747602563,1.047576632,4.438141959,0.513761468,1.809054399,2.248480393
Curacao,CUW,GDP growth (annual %),2.188044622,-0.53130945,0.08230596,0.612608577,-0.138917069,-0.794106769,-1.138838621,0.278694931,-0.986569701,-1.73976542,-2.166132047
Cayman Islands,CYM,GDP growth (annual %),-0.357401201,-7.200482447,-2.715635262,1.169062198,1.229753657,1.27933102,2.654527985,2.833122226,3.096282182,3.039349203,
Cyprus,CYP,GDP growth (annual %),3.646811991,-2.015262359,2.014695707,0.401437941,-3.446822086,-6.553078255,-1.863739818,3.374687062,6.746583679,4.361228837,4.060191762
Czech Republic,CZE,GDP growth (annual %),2.682282726,-4.802572092,2.273420054,1.777833186,-0.799844281,-0.483671042,2.715116133,5.309238518,2.450542386,4.35260352,2.957784473
Germany,DEU,GDP growth (annual %),0.962266442,-5.697151628,4.178969038,3.924133418,0.41955108,0.428243262,2.225688749,1.739749823,2.229999967,2.465030029,1.527446298
Djibouti,DJI,GDP growth (annual %),,,,,,,7.061543242,7.675070086,6.918584624,5.076899643,5.460190759
Dominica,DMA,GDP growth (annual %),7.120741901,-1.169757154,0.672542759,-0.22367684,-1.058786064,-0.999781098,4.447947365,-2.691108924,2.556494913,-6.79942797,2.264570234
Denmark,DNK,GDP growth (annual %),-0.512016735,-4.906547729,1.87099111,1.336777778,0.226499797,0.933340957,1.619393817,2.34259043,3.245957666,2.036165206,2.391329685
Dominican Republic,DOM,GDP growth (annual %),3.209504264,0.94615517,8.339651056,3.133423005,2.7173679,4.875205089,7.05046369,6.927018774,6.659200262,4.666704676,6.982527584
Algeria,DZA,GDP growth (annual %),2.4,1.6,3.6,2.9,3.4,2.8,3.8,3.7,3.2,1.3,1.4
East Asia & Pacific (excluding high income),EAP,GDP growth (annual %),8.432427757,7.694499905,9.776616957,8.468349516,7.508684888,7.201030923,6.759310644,6.509981299,6.375060811,6.471301191,6.294999734
Early-demographic dividend,EAR,GDP growth (annual %),3.461072963,0.631662327,6.168476833,4.966815472,4.235538156,4.298651873,4.006131588,4.195225463,3.961125905,4.095201822,3.517498599
East Asia & Pacific,EAS,GDP growth (annual %),3.52452374,1.375817596,7.051549004,4.611257722,4.689786496,4.75565239,4.141683305,4.141112985,4.057325585,4.591922496,4.197954189
Europe & Central Asia (excluding high income),ECA,GDP growth (annual %),4.423591912,-5.920861066,5.074638427,6.039694256,3.700003282,4.038719523,2.240814378,0.836003816,1.755043904,4.039172052,2.850265288
Europe & Central Asia,ECS,GDP growth (annual %),1.03311593,-4.437010049,2.62924107,2.39944435,0.293112991,0.901828663,1.831859075,2.047392529,1.94012948,2.758171485,2.137992757
Ecuador,ECU,GDP growth (annual %),6.3571306,0.566491592,3.525298669,7.868140919,5.641962067,4.946511267,3.788868549,0.098872608,-1.226383985,2.368386526,1.37712703
"Egypt, Arab Rep.",EGY,GDP growth (annual %),7.156283564,4.6735998,5.147234859,1.764571949,2.226199797,2.185466055,2.915911879,4.372019079,4.346643453,4.181221001,5.314121037
Euro area,EMU,GDP growth (annual %),0.421095192,-4.501257151,2.133539103,1.686520553,-0.892157629,-0.252894811,1.401016227,2.113835385,1.91021306,2.542169155,1.899849965
Eritrea,ERI,GDP growth (annual %),-9.783030037,3.87650156,2.194190545,8.679799936,,,,,,,
Spain,ESP,GDP growth (annual %),0.887145182,-3.763231927,0.163010231,-0.814373455,-2.959441302,-1.435394259,1.383907943,3.83517266,3.03130133,2.891768107,2.351008131
Estonia,EST,GDP growth (annual %),-5.088942211,-14.43386864,2.706902753,7.441584819,3.110234555,1.346187836,2.987325819,1.84488518,2.631567906,5.748802092,4.761158469
Ethiopia,ETH,GDP growth (annual %),10.78852169,8.802553198,12.55053835,11.17829623,8.647811633,10.58227005,10.25749296,10.39246302,9.433482658,9.503858571,6.810169391
European Union,EUU,GDP growth (annual %),0.515608296,-4.315447798,2.168118829,1.791123977,-0.422809861,0.264743448,1.738959159,2.352837328,2.039217766,2.597720526,2.01485496
Fragile and conflict affected situations,FCS,GDP growth (annual %),5.517676194,4.626409775,6.594050772,-5.419554529,12.38056154,3.84411474,1.09020852,2.230698493,5.8940447,2.765788317,1.969292791
Finland,FIN,GDP growth (annual %),0.784016801,-8.074615574,3.185911569,2.547530321,-1.39735454,-0.902018494,-0.364940286,0.560595415,2.627998449,3.05128111,1.671438881
Fiji,FJI,GDP growth (annual %),1.03279422,-1.386037708,2.954672422,2.705143029,1.411314382,4.73421949,5.603514887,4.663807838,2.509785497,5.425740314,3.526209372
France,FRA,GDP growth (annual %),0.254945946,-2.873313852,1.949437633,2.192700652,0.313134742,0.576326679,0.956183048,1.112912341,1.095464395,2.260202721,1.724880627
Faroe Islands,FRO,GDP growth (annual %),,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,GDP growth (annual %),-2.408525619,1.093130091,2.259373637,3.188555315,-1.866790542,-3.679786534,-2.305778627,4.621898281,0.900187187,2.682178867,0.211658399
Gabon,GAB,GDP growth (annual %),-3.308430649,0.13033112,7.089887315,7.091753343,5.251076918,5.638699003,4.314964441,3.878899395,2.091442208,0.479762271,0.835804969
United Kingdom,GBR,GDP growth (annual %),-0.28115359,-4.247821747,1.949521482,1.540147368,1.478923947,2.139485701,2.607475906,2.355524306,1.918155106,1.892077038,1.38567357
Georgia,GEO,GDP growth (annual %),2.418572208,-3.650513994,6.249487789,7.4,6.4,3.6,4.4,3,2.9,4.8,4.8
Ghana,GHA,GDP growth (annual %),9.149798975,4.844486998,7.899711889,14.04712363,9.292789405,7.312525007,2.897438837,2.178206744,3.447792991,8.143446549,6.263480732
Gibraltar,GIB,GDP growth (annual %),,,,,,,,,,,
Guinea,GIN,GDP growth (annual %),4.133009508,-1.122641858,4.813362961,5.61210719,5.915288139,3.945685431,3.696541182,3.825922386,10.82062122,10.30000083,6.163853325
"Gambia, The",GMB,GDP growth (annual %),6.255905534,6.665724308,5.90833581,-8.130444223,5.241569246,2.87276879,-1.407382495,4.058073804,1.943359655,4.822611249,6.547026565
Guinea-Bissau,GNB,GDP growth (annual %),3.203567307,3.368974958,4.6109709,8.084779734,-1.712683012,3.255904265,0.964560751,6.134082941,6.262805638,5.919176626,3.799999992
Equatorial Guinea,GNQ,GDP growth (annual %),17.79910913,1.343356288,-8.924175889,6.52392363,8.312871844,-4.133198501,0.415066302,-9.110041149,-8.816417232,-4.685683868,-6.128749289
Greece,GRC,GDP growth (annual %),-0.335172577,-4.300733661,-5.479037102,-9.13249413,-7.300493961,-3.241425056,0.739777139,-0.437833938,-0.190952296,1.505099339,1.934370827
Grenada,GRD,GDP growth (annual %),0.947542625,-6.613281348,-0.511262754,0.764976824,-1.155143735,2.351418773,7.344076522,6.443143733,3.735614132,4.459048241,4.17721519
Greenland,GRL,GDP growth (annual %),6.166132702,0.865952329,1.735825059,-0.496519392,1.39419336,-1.298280693,4.742135673,-2.529318024,4.68195411,0.468546638,3.218027331
Guatemala,GTM,GDP growth (annual %),3.28107984,0.526042983,2.869487756,4.16204894,2.969857401,3.697585601,4.174169137,4.140044358,3.092482558,2.760334857,3.145043317
Guam,GUM,GDP growth (annual %),1.728922092,0.314729333,2.091612633,0.12292563,2.025782689,1.825110309,1.733307071,0.464666021,0.289073039,0.24980784,-0.26835346
Guyana,GUY,GDP growth (annual %),1.976647054,3.552158264,4.13856435,5.196059258,5.276422643,5.017724952,3.898243206,3.05486454,3.363216124,2.100003391,4.10000155
High income,HIC,GDP growth (annual %),0.383327004,-3.319027588,2.962967969,1.858678015,1.281768594,1.439831825,2.026101924,2.330355715,1.713476258,2.302777126,2.237871305
"Hong Kong SAR, China",HKG,GDP growth (annual %),2.127908789,-2.459075001,6.76759015,4.814695863,1.700285359,3.101558647,2.762396425,2.387770814,2.176398369,3.84949281,3.002475556
Honduras,HND,GDP growth (annual %),4.23160011,-2.43162788,3.731140344,3.835690662,4.128687749,2.791559757,3.058080562,3.840079971,3.892972197,4.788026945,3.745584746
Heavily indebted poor countries (HIPC),HPC,GDP growth (annual %),6.063056105,4.252004229,5.892584135,4.508236613,5.709899865,5.755457913,5.539202883,4.910489555,4.634420164,5.115397997,4.112241213
Croatia,HRV,GDP growth (annual %),1.759531746,-7.359498022,-1.496259495,-0.309847287,-2.237705463,-0.548518694,-0.103868249,2.437139302,3.483525422,3.139195999,2.630785623
Haiti,HTI,GDP growth (annual %),0.843944574,3.083247861,-3.12239443,5.523740015,2.892240172,4.247639994,2.776300137,1.224329778,1.452710152,1.17328004,1.483879788
Hungary,HUN,GDP growth (annual %),1.058291669,-6.699554727,0.664291825,1.819079958,-1.471788851,1.962984049,4.195082409,3.845557706,2.199998761,4.322809001,5.094002564
IBRD only,IBD,GDP growth (annual %),5.550649177,2.022673624,7.311064043,5.998632349,5.030928457,4.966623995,4.272410225,3.664052718,3.946365494,4.600682981,4.343148102
IDA & IBRD total,IBT,GDP growth (annual %),5.538218555,2.229417929,7.239259857,5.903360979,5.009266292,5.029774489,4.364361373,3.698303782,3.893837072,4.575492951,4.34254536
IDA total,IDA,GDP growth (annual %),5.356265661,5.229467148,6.229067874,4.549364003,4.696646847,5.944046261,5.683317597,4.183045361,3.150881719,4.216460734,4.334098971
IDA blend,IDB,GDP growth (annual %),4.42556395,5.715231261,6.24374515,5.001464341,4.531784131,5.823245241,5.80065289,3.908531289,1.576898025,2.743046051,3.614215937
Indonesia,IDN,GDP growth (annual %),6.0137036,4.628871183,6.223854181,6.169784208,6.030050653,5.557263689,5.006668426,4.8763223,5.033069183,5.067406366,5.171270328
IDA only,IDX,GDP growth (annual %),6.356236885,4.727929928,6.213771155,4.078050199,4.870599186,6.071095782,5.56020142,4.471740324,4.812095853,5.723532463,5.04966817
Isle of Man,IMN,GDP growth (annual %),4.699998522,2.099999803,3.399999672,2.00000146,3.199999724,4.499999713,5.000000801,-0.900000388,7.399999657,3.6,
India,IND,GDP growth (annual %),3.08669806,7.861888833,8.497584702,5.241344743,5.456358951,6.386106401,7.410227605,7.996253786,8.169526505,7.167888861,6.811369326
Not classified,INX,GDP growth (annual %),,,,,,,,,,,
Ireland,IRL,GDP growth (annual %),-4.480383335,-5.079212673,1.809979744,0.343440795,0.225714843,1.351634004,8.556687985,25.16253305,3.677815811,8.145296156,8.169870933
"Iran, Islamic Rep.",IRN,GDP growth (annual %),0.250856553,1.007385458,5.797938302,2.645717918,-7.44455703,-0.194073471,4.60341888,-1.32064512,13.39624446,3.755187367,
