Year,Month,Country,Count
2012,1,Canada,1526486
2012,2,Canada,1388476
2012,3,Canada,2084173
2012,4,Canada,2011755
2012,5,Canada,1814170
2012,6,Canada,1582659
2012,7,Canada,2524311
2012,8,Canada,2944883
2012,9,Canada,1942212
2012,10,Canada,1720814
2012,11,Canada,1649867
2012,12,Canada,1507539
2013,1,Canada,1578899
2013,2,Canada,1490862
2013,3,Canada,2318442
2013,4,Canada,2021386
2013,5,Canada,1947543
2013,6,Canada,1682737
2013,7,Canada,2463891
2013,8,Canada,3016027
2013,9,Canada,1915969
2013,10,Canada,1739569
2013,11,Canada,1634494
2013,12,Canada,1597174
2014,1,Canada,1585081
2014,2,Canada,1470587
2014,3,Canada,2201883
2014,4,Canada,2050595
2014,5,Canada,1948623
2014,6,Canada,1726288
2014,7,Canada,2334314
2014,8,Canada,3025538
2014,9,Canada,1804573
2014,10,Canada,1709192
2014,11,Canada,1661606
2014,12,Canada,1495411
2015,1,Canada,1566951
2015,2,Canada,1419546
2015,3,Canada,2077148
2015,4,Canada,1921658
2015,5,Canada,1834424
2015,6,Canada,1485644
2015,7,Canada,2165295
2015,8,Canada,2478003
2015,9,Canada,1595420
2015,10,Canada,1464844
2015,11,Canada,1426837
2015,12,Canada,1263382
2016,1,Canada,1356146
2016,2,Canada,1230191
2016,3,Canada,1797979
2016,4,Canada,1608972
2016,5,Canada,1691059
2016,6,Canada,1375143
2016,7,Canada,2018513
2016,8,Canada,2340211
2016,9,Canada,1636929
2016,10,Canada,1557322
2016,11,Canada,1404973
2016,12,Canada,1270061
2017,1,Canada,1473657
2017,2,Canada,1289479
2017,3,Canada,1842583
2017,4,Canada,1848622
2017,5,Canada,1604122
2017,6,Canada,1463017
2017,7,Canada,2122836
2017,8,Canada,2455017
2017,9,Canada,1732955
2017,10,Canada,1684432
2017,11,Canada,1553199
2017,12,Canada,1423295
2018,1,Canada,1570201
2018,2,Canada,1437970
2018,3,Canada,2063010
2018,4,Canada,1998703
2018,5,Canada,1796144
2018,6,Canada,1527987
2018,7,Canada,2165980
2018,8,Canada,2458457
2018,9,Canada,1739771
2018,10,Canada,1654927
2018,11,Canada,1562297
2018,12,Canada,1499705
2012,1,Mexico,1190347
2012,2,Mexico,918201
2012,3,Mexico,928436
2012,4,Mexico,1296127
2012,5,Mexico,1011193
2012,6,Mexico,938324
2012,7,Mexico,1434335
2012,8,Mexico,1236038
2012,9,Mexico,1058799
2012,10,Mexico,1224868
2012,11,Mexico,1408841
2012,12,Mexico,1553135
2013,1,Mexico,1155084
2013,2,Mexico,920139
2013,3,Mexico,982974
2013,4,Mexico,1166627
2013,5,Mexico,1017960
2013,6,Mexico,1002344
2013,7,Mexico,1309895
2013,8,Mexico,1430460
2013,9,Mexico,1217727
2013,10,Mexico,1334766
2013,11,Mexico,1432172
2013,12,Mexico,1577089
2014,1,Mexico,1389522
2014,2,Mexico,1119625
2014,3,Mexico,1196035
2014,4,Mexico,1426661
2014,5,Mexico,1394865
2014,6,Mexico,1241160
2014,7,Mexico,1479571
2014,8,Mexico,1626539
2014,9,Mexico,1269871
2014,10,Mexico,1512265
2014,11,Mexico,1634121
2014,12,Mexico,1779586
2015,1,Mexico,1467583
2015,2,Mexico,1186703
2015,3,Mexico,1258750
2015,4,Mexico,1528399
2015,5,Mexico,1549032
2015,6,Mexico,1404126
2015,7,Mexico,1588600
2015,8,Mexico,1696144
2015,9,Mexico,1361682
2015,10,Mexico,1624713
2015,11,Mexico,1792402
2015,12,Mexico,1916090
2016,1,Mexico,1578074
2016,2,Mexico,1285065
2016,3,Mexico,1422900
2016,4,Mexico,1516551
2016,5,Mexico,1573569
2016,6,Mexico,1463526
2016,7,Mexico,1609311
2016,8,Mexico,1663569
2016,9,Mexico,1464908
2016,10,Mexico,1732714
2016,11,Mexico,1734675
2016,12,Mexico,1945723
2017,1,Mexico,1478497
2017,2,Mexico,1171639
2017,3,Mexico,1182757
2017,4,Mexico,1530287
2017,5,Mexico,1390217
2017,6,Mexico,1222317
2017,7,Mexico,1587226
2017,8,Mexico,1618652
2017,9,Mexico,1359192
2017,10,Mexico,1558684
2017,11,Mexico,1772545
2017,12,Mexico,1915995
2018,1,Mexico,1568373
2018,2,Mexico,1275378
2018,3,Mexico,1471764
2018,4,Mexico,1690820
2018,5,Mexico,1516505
2018,6,Mexico,1358956
2018,7,Mexico,1612237
2018,8,Mexico,1590428
2018,9,Mexico,1315798
2018,10,Mexico,1631132
2018,11,Mexico,1643232
2018,12,Mexico,1712782
